date,auditeurs
2025-06-12,3783050
2025-06-12,3783050
2025-06-13,3769597
2025-06-14,3769597
2025-06-15,3764458
2025-06-16,3752081
2025-06-17,3752081
2025-06-18,3743872
2025-06-19,3736135
2025-06-20,3737763
2025-06-21,3737763
2025-06-22,3740366
2025-06-23,3740366
2025-06-24,3742573
2025-06-25,3745182
2025-06-26,3748766
2025-06-27,3745974
2025-06-28,3965841
2025-06-29,3965841
2025-07-01,4119336
